company,env_kaggle_score,soc_kaggle_score,governance_quality,fin_return_on_equity,fin_return_on_assets,fin_profit_margin,fin_revenue_growth,fin_earnings_growth,fin_debt_to_equity,fin_current_ratio,price_1y_return_pct,fin_market_cap,fin_beta,price_30d_volatility_pct,news_controversy_count,news_unique_source_count,topsis_score,penalty,final_score,rank
Dell,500.0,318.0,0.0,0.344,0.07004,0.062750004,0.875,2.825,57.31,0.946,252.55099782046577,279114121216.0,1.376,114.76069280096657,10,8,0.5875526228705664,0.5555555555555556,0.5059480919163211,1
Seagate,1.59,3.8,0.375,17.8797,0.24664,0.21599,0.441,1.083,381.553,1.326,500.2083605995069,194581348352.0,2.067,84.82881051414618,7,6,0.3165929072156128,0.5,0.2770187938136612,2
NVIDIA,2.3,4.95,0.375,1.14288,0.52727,0.62966,0.852,2.145,6.555,3.441,27.59619451244741,4943990226944.0,2.211,41.47116705357747,5,2,0.30185419759189713,0.8333333333333334,0.23896790642691856,3
Micron,7.23,5.46,0.625,0.66638,0.3487,0.55906,3.457,13.685,6.33,3.425,663.8023332122373,1071568191488.0,2.142,126.54678844061952,0,0,0.22422610991593456,0.0,0.22422610991593456,4
Alphabet (Google),1.56,11.16,0.09999999999999998,0.38884997,0.14641,0.37919,0.218,0.82,20.026,1.922,108.16269323608752,4416355172352.0,1.247,32.64444922639822,5,3,0.2649452483986091,0.625,0.22354755333632645,5
Apple,0.46,7.39,0.725,1.4147099,0.26229,0.27152002,0.166,0.218,79.548,1.07,49.818241235758265,4602870628352.0,1.097,33.538196133445126,5,2,0.2733229822156172,0.8333333333333334,0.21638069425403025,6
Microsoft,1.46,7.53,0.42500000000000004,0.34013999,0.14814,0.39341998,0.183,0.234,30.271,1.283,-22.1936410834021,2847616270336.0,1.13,41.05502912749815,5,3,0.1881159846757988,0.625,0.15872286207020522,7
Broadcom,7.34,6.0,0.5,0.37280998,0.121190004,0.38848,0.479,0.854,74.018,2.238,44.05371269931016,1849223938048.0,1.462,65.69277457159933,10,8,0.1420254852363835,0.5555555555555556,0.12229972339799691,8
Texas Instruments,7.76,5.96,0.22499999999999998,0.32347,0.12161,0.29108,0.186,0.313,83.741,4.456,42.99569535143433,274229166080.0,1.31,62.92178918689982,0,0,0.1122847392255169,0.0,0.1122847392255169,9
Meta,2.71,21.09,0.025000000000000022,0.32930002,0.16395001,0.32837,0.331,0.624,35.608,2.348,-16.036922784104,1530973782016.0,1.246,50.54579985112624,3,2,0.126454777863084,0.5,0.11064793063019851,10
onsemi,11.79,5.69,0.625,0.074939996,0.06827,0.09462,0.047,0.25,44.337,4.873,62.77334719565126,36501716992.0,2.012,109.85462233753267,7,6,0.11547070179524252,0.5,0.1010368640708372,11
KLA,7.41,5.13,0.55,0.94975996,0.21282,0.35661998,0.115,0.118,105.4,3.026,142.16782799115714,288921944064.0,1.407,106.49529275294422,0,0,0.09424157579798145,0.0,0.09424157579798145,12
Applied Materials,4.49,2.97,0.85,0.39692003,0.14858,0.29314,0.114,0.335,30.399,2.508,194.7254111761462,452953866240.0,1.567,95.64274471927696,0,0,0.08634652369176614,0.0,0.08634652369176614,13
Garmin,4.78,11.63,0.22499999999999998,0.19899,0.11903,0.23261,0.142,0.215,2.331,4.361,15.984591473247956,46966272000.0,0.914,23.10698729627128,4,1,0.10939422261700722,1.0,0.08204566696275542,14
Teradyne,7.11,4.89,0.725,0.2875,0.15835,0.22553,0.87,3.148,2.621,2.147,282.2055910308349,55035527168.0,1.742,108.38703334568277,10,8,0.09180834176071605,0.5555555555555556,0.07905718318283882,15
Lam Research,4.5,3.97,0.75,0.66762,0.22778,0.30938998,0.238,0.408,35.282,2.536,235.5642686202566,416627720192.0,1.805,93.64362885920276,6,3,0.09327704500553749,0.75,0.07578759906699921,16
Arista,0.4,8.88,0.22499999999999998,0.31520998,0.14359,0.38317,0.351,0.25,57.31,2.829,75.1136513401361,227972628480.0,1.601,65.7553014145104,3,3,0.08347201075505842,0.375,0.07564650974677169,17
Qualcomm,5.34,4.5,0.625,0.36083,0.12692,0.22308001,-0.035,1.73,55.979,2.366,19.028630881156204,196634230784.0,1.638,79.70929313581614,0,0,0.0659129270935635,0.0,0.0659129270935635,18
NXP,8.58,5.45,0.75,0.25812998,0.08144,0.21031,0.122,1.307,103.991,2.241,24.32405153789736,71653818368.0,1.805,58.428459142230096,1,1,0.06289255788588466,0.25,0.05896177301801687,19
PTC,4.92,8.61,0.42500000000000004,0.344,0.119899996,0.41575,0.217,2.689,35.78,1.234,-31.4645026308404,14162164736.0,0.994,49.778473441901234,6,6,0.06593912419097203,0.42857142857142855,0.0588742180276536,20
Jack Henry,4.32,8.66,0.65,0.24892001,0.13664,0.20637,0.087,0.125,6.398,1.744,-17.4060510549584,10470753280.0,0.571,32.82489610614546,1,1,0.06208606528061028,0.25,0.058205686200572135,21
Cisco,0.45,6.9,0.475,0.25229,0.07337,0.19685,0.12,0.371,67.541,0.925,69.3786609396529,448614072320.0,1.007,39.17703884464835,0,0,0.058084218509797496,0.0,0.058084218509797496,22
Fortinet,2.5,10.03,0.475,1.32392,0.13586001,0.27491,0.201,0.286,57.31,1.153,45.72252685487968,114813329408.0,1.09,44.203895213256615,5,5,0.06272366576583863,0.4166666666666667,0.0561899505818971,23
Adobe,1.94,5.99,0.55,0.62953997,0.19926001,0.28689,0.127,0.079,61.443,0.751,-42.1986165534552,87823654912.0,1.433,52.38326986168463,0,0,0.054544142704694626,0.0,0.054544142704694626,24
ADP,2.8,5.54,0.825,0.71208,0.05949,0.20118,0.07,0.105,69.259,1.043,-19.1666239975177,96483860480.0,0.841,33.3451287860756,0,0,0.05375788827827389,0.0,0.05375788827827389,25
NetApp,2.19,7.74,0.625,1.06734,0.09824,0.18426001,0.125,0.234,202.295,1.436,57.30828800961294,32405153792.0,1.451,75.87017739827377,0,0,0.05279068347318281,0.0,0.05279068347318281,26
Skyworks,11.82,8.93,0.375,0.06171,0.03537,0.08931,-0.01,-0.449,20.632,2.376,-21.7988714370801,8797245440.0,1.497,56.69726068686839,2,2,0.057583160844792904,0.3333333333333333,0.05278456410772683,27
Paychex,3.21,7.16,0.625,0.344,0.10389,0.26633,0.125,0.426,123.378,1.152,-23.4263002366334,37899849728.0,1.247,34.14583693129122,0,0,0.05189365313427068,0.0,0.05189365313427068,28
Fortive,16.09,13.97,0.525,0.06814,0.032509997,0.12837,0.077,-0.124,58.806,0.708,16.555276258106645,18678835200.0,0.977,25.39208359628567,0,0,0.05150816104654883,0.0,0.05150816104654883,29
Autodesk,3.68,8.19,0.675,0.50396,0.113249995,0.19488001,0.184,2.314,85.419,0.835,-34.5717853068876,43504365568.0,1.318,47.17925358853743,0,0,0.050820672852176015,0.0,0.050820672852176015,30
Keysight,1.2,1.75,0.475,0.18174,0.06039,0.17312999,0.315,0.356,43.642,1.903,94.01871499733431,54214840320.0,1.214,55.15344949224711,9,8,0.0577660793801008,0.5,0.0505453194575882,31
Leidos,3.37,9.03,0.7,0.30579,0.09232,0.08154,0.037,-0.076,137.125,1.397,-33.1816587150336,13481686016.0,0.547,35.19417863906439,1,1,0.05347520619277072,0.25,0.05013300580572255,32
Oracle,0.5,7.79,0.35,0.53376,0.06505,0.25368,0.206,0.219,388.87,1.115,-39.4884741490539,404677394432.0,1.712,72.50266738856146,0,0,0.04944675455758798,0.0,0.04944675455758798,33
Cadence,2.33,4.88,0.775,0.20656,0.10389,0.21180001,0.187,0.23,46.992,1.471,15.707745289235907,103171735552.0,1.148,47.27202797065542,7,7,0.0541942241533129,0.4375,0.048266730886544304,34
IBM,1.78,6.22,0.44999999999999996,0.35772,0.05369,0.15606,0.095,0.142,211.169,0.796,6.664639182545984,283892350976.0,0.675,62.47625694667109,0,0,0.04805003475660449,0.0,0.04805003475660449,35
Gartner,0.11,13.17,0.65,0.94878,0.09377,0.1144,-0.015,0.173,5293.41,0.939,-66.2583002041309,9017079808.0,0.963,56.57763452605041,7,6,0.04798270001026539,0.5,0.041984862508982215,36
Palo Alto Networks,0.7,7.62,0.275,0.048309997,0.017719999,0.07947,0.311,0.25,7.698,0.856,57.15965866211712,261280841728.0,0.908,61.38251895976901,6,6,0.046422540133091536,0.42857142857142855,0.04144869654740316,37
HPE,0.95,4.14,0.55,0.06315,0.01966,0.040110003,0.4,0.25,84.03,1.088,119.02239280198305,59152166912.0,1.438,89.1701464606407,5,5,0.04600333173150074,0.4166666666666667,0.041211318009469415,38
Broadridge,4.19,7.5,0.575,0.42314,0.091709994,0.15028,0.078,0.151,120.878,0.943,-36.8099100288054,17009866752.0,0.903,31.79007301474441,9,7,0.04729673137266927,0.5625,0.040645628523387656,39
Synopsys,3.34,6.93,0.525,0.03824,0.014939999,0.089090005,0.419,-0.96,35.574,1.434,-21.2162984703306,83197771776.0,1.222,40.37222180074229,10,8,0.047003241295930386,0.5555555555555556,0.04047501333816228,40
HP,0.11,5.05,0.625,0.344,0.058790002,0.044460002,0.09,0.162,57.31,0.794,-3.1001560725885,21747349504.0,1.212,53.51226847746009,0,0,0.0384378475824477,0.0,0.0384378475824477,41
CDW,2.48,3.21,0.575,0.44157,0.06698,0.047030002,0.092,0.077,240.522,1.165,-22.2908350274636,17594204160.0,0.962,59.258599060777925,2,2,0.04138818293855394,0.3333333333333333,0.03793916769367444,42
